iShares Core S&P 500 ETF
Fund Holdings as of,"Dec 06, 2024"
Inception Date,"May 15, 2000"
Shares Outstanding,"957,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PANW","PALO ALTO NETWORKS INC","Information Technology","Equity","1,484,487,922.50","0.25","1,484,487,922.50","3,657,275.00","405.90","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,402,705,596.24","0.24","1,402,705,596.24","4,605,679.00","304.56","United States","NASDAQ","USD","1.00","USD","-"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","1,374,607,463.20","0.24","1,374,607,463.20","16,872,560.00","81.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,359,697,491.20","0.23","1,359,697,491.20","22,898,240.00","59.38","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMUS","T MOBILE US INC","Communication","Equity","1,349,265,255.48","0.23","1,349,265,255.48","5,534,766.00","243.78","United States","NASDAQ","USD","1.00","USD","-"
"FI","FISERV INC","Financials","Equity","1,347,852,916.88","0.23","1,347,852,916.88","6,502,571.00","207.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,347,090,352.90","0.23","1,347,090,352.90","2,915,149.00","462.10","United States","NASDAQ","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","1,295,482,586.19","0.22","1,295,482,586.19","14,061,463.00","92.13","United States","NASDAQ","USD","1.00","USD","-"
"DE","DEERE","Industrials","Equity","1,285,234,812.00","0.22","1,285,234,812.00","2,894,673.00","444.00","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,281,296,777.79","0.22","1,281,296,777.79","12,798,889.00","100.11","United States","NASDAQ","USD","1.00","USD","-"
"BA","BOEING","Industrials","Equity","1,270,331,184.15","0.22","1,270,331,184.15","8,252,655.00","153.93","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","1,267,014,837.74","0.22","1,267,014,837.74","12,523,622.00","101.17","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","1,263,424,720.00","0.22","1,263,424,720.00","11,671,360.00","108.25","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MMC","MARSH & MCLENNAN INC","Financials","Equity","1,250,547,646.40","0.21","1,250,547,646.40","5,554,040.00","225.16","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,229,300,425.71","0.21","1,229,300,425.71","2,396,157.00","513.03","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,222,923,065.40","0.21","1,222,923,065.40","5,604,597.00","218.20","United States","NASDAQ","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,216,981,797.54","0.21","1,216,981,797.54","14,486,154.00","84.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","1,203,584,291.40","0.21","1,203,584,291.40","7,617,140.00","158.01","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
